sample,baseline_psnr,dip_psnr,baseline_ssim,dip_ssim,baseline_lpips,dip_lpips,num_patches
0112x8,15.2206,31.8175,0.5556,0.8219,0.6381,0.4152,48
0113x8,15.3063,25.8619,0.3951,0.6856,0.7510,0.4845,48
0114x8,11.7290,28.3764,0.4804,0.8168,0.7332,0.3321,48
0115x8,17.0366,27.5022,0.6159,0.6687,0.4975,0.2867,48
0116x8,11.8804,25.8874,0.4880,0.8002,0.6490,0.3009,48
0117x8,15.2474,24.8298,0.4208,0.6218,0.6691,0.4516,48
0118x8,14.6237,27.8389,0.6403,0.8024,0.6738,0.4607,48
0119x8,14.9556,24.0526,0.5468,0.7654,0.6010,0.3582,48
0120x8,15.7682,31.0839,0.5674,0.8265,0.6726,0.3283,48
0121x8,15.7600,32.3211,0.7523,0.9133,0.4238,0.1951,48
0122x8,11.8586,23.3468,0.2624,0.6715,0.8468,0.4030,32
0123x8,12.2662,28.0049,0.4216,0.7044,0.7870,0.5072,48
0124x8,19.6678,31.5129,0.5579,0.8474,0.6361,0.3317,48
0125x8,12.9802,26.9915,0.3905,0.7461,0.7850,0.3821,48
0126x8,13.7608,26.6405,0.2942,0.6948,0.7978,0.3806,48
0127x8,16.0495,27.7749,0.6094,0.8247,0.6659,0.3580,48
0128x8,15.8071,28.3930,0.5973,0.7864,0.5714,0.3578,40
0129x8,13.7800,21.9670,0.1945,0.4576,0.9596,0.6736,48
0130x8,12.1588,28.5566,0.4650,0.8053,0.6599,0.4034,48
0131x8,18.8929,26.6921,0.5754,0.6978,0.5471,0.3920,48
0132x8,15.5504,23.9671,0.3101,0.6427,0.8541,0.4067,40
0133x8,12.9431,29.4727,0.6168,0.8765,0.5476,0.2315,48
0134x8,13.0759,25.7042,0.4614,0.7460,0.7298,0.3671,56
0135x8,12.7386,25.3875,0.2232,0.6635,0.7603,0.4602,48
0136x8,20.4469,33.0375,0.7921,0.8895,0.4161,0.3005,48
0137x8,11.9996,25.5000,0.3704,0.8103,0.7331,0.3151,48
0138x8,25.3947,34.7611,0.8091,0.9054,0.4351,0.2174,48
0139x8,11.9939,22.1031,0.1720,0.5128,0.9267,0.5501,32
0140x8,14.1375,23.4274,0.2040,0.6127,0.8571,0.5133,48
0141x8,16.8207,24.5561,0.4109,0.6425,0.7647,0.4836,48
0142x8,14.4907,21.0568,0.3455,0.5458,0.8399,0.5354,48
0143x8,14.1755,26.0830,0.3211,0.6063,0.9007,0.5996,48
0144x8,9.6376,22.4231,0.1699,0.6887,0.9283,0.4220,48
0145x8,14.0810,21.3388,0.4106,0.6042,0.6978,0.4535,24
0146x8,14.0981,22.3058,0.4223,0.6347,0.7272,0.4632,48
0147x8,12.8240,23.5235,0.3248,0.5978,0.8641,0.4974,56
0148x8,12.0355,24.3918,0.4444,0.7408,0.6556,0.3448,48
0149x8,12.4110,22.4298,0.3745,0.6731,0.7884,0.3863,56
0150x8,19.8774,26.6228,0.7763,0.8642,0.4526,0.3439,40
0151x8,13.4204,21.9944,0.2842,0.6336,0.8861,0.5101,48
0152x8,15.2098,32.1969,0.5045,0.8511,0.6423,0.3799,48
0153x8,13.4786,27.0992,0.4934,0.7733,0.7113,0.3439,48
0154x8,16.5706,26.7738,0.6180,0.8524,0.5173,0.2189,48
0155x8,13.4576,25.3888,0.4668,0.7973,0.6205,0.2986,64
0156x8,14.4966,27.0249,0.5680,0.8386,0.6244,0.3180,48
0157x8,17.3198,33.8354,0.7762,0.9237,0.4806,0.2524,48
0158x8,12.9192,24.1806,0.3834,0.7044,0.8246,0.3875,40
0159x8,14.8203,28.1403,0.5200,0.7070,0.6886,0.4345,48
0160x8,12.6323,23.5797,0.2097,0.5573,0.8483,0.4909,48
0161x8,15.4524,25.3046,0.4856,0.6384,0.7331,0.4661,40
0162x8,10.6966,24.3972,0.2093,0.7207,0.8375,0.3344,48
0163x8,16.0597,25.5520,0.5455,0.8186,0.5536,0.3452,48
0164x8,14.9284,28.2956,0.6805,0.9039,0.5320,0.2737,48
0165x8,13.2129,31.9576,0.6043,0.8629,0.6520,0.3439,48
0166x8,13.7920,22.0401,0.3808,0.7272,0.6697,0.3065,48
0167x8,15.8643,32.1926,0.7067,0.9156,0.4849,0.2420,48
0168x8,14.6057,31.8090,0.6483,0.8970,0.5794,0.2442,48
0169x8,12.3636,27.3405,0.3258,0.7403,0.7954,0.3957,48
0170x8,9.9226,22.4671,0.3154,0.7777,0.7577,0.2626,40
0171x8,16.7944,25.6436,0.4852,0.7043,0.7080,0.4604,48
0172x8,15.6064,25.5764,0.4934,0.7440,0.7057,0.3802,40
0173x8,13.4557,23.8319,0.3251,0.6385,0.8554,0.4854,48
0174x8,18.5289,25.5424,0.3120,0.5605,0.7796,0.5649,40
0175x8,18.0160,23.6349,0.3700,0.5578,0.8442,0.6048,40
0176x8,13.8017,22.2676,0.4604,0.6157,0.6331,0.3528,56
0177x8,15.6881,30.5216,0.7327,0.9001,0.3880,0.2096,48
0178x8,13.0214,25.5051,0.3147,0.6371,0.8559,0.5117,48
0179x8,17.4432,27.6814,0.4400,0.6750,0.8356,0.5876,48
0180x8,13.3008,27.7273,0.5592,0.7852,0.6655,0.4228,48
0181x8,15.2247,26.2187,0.3343,0.6132,0.8550,0.5427,48
0182x8,10.0842,22.2694,0.0904,0.6096,0.9521,0.4368,40
0183x8,15.1104,25.9727,0.2897,0.6199,0.8564,0.5359,48
