image,baseline_psnr,baseline_ssim,baseline_lpips
0,19.348802128616946,0.3938794,0.8317392468452454
1,21.48332047355908,0.6465116,0.5129486322402954
2,24.59865565892457,0.81993717,0.3772190511226654
3,18.93979747868325,0.4245075,0.8070399761199951
4,22.30063998790614,0.47518697,0.8543093204498291
5,20.556319783792212,0.64554745,0.5770207643508911
6,16.76529989599832,0.23083997,0.9732397794723511
7,19.742955842010296,0.62771803,0.5767253637313843
8,22.05023361594213,0.47943673,0.7401866316795349
9,22.307379130021058,0.5498617,0.7465627789497375
10,21.793115045264106,0.448637,0.8130273818969727
11,20.110780703691738,0.53124464,0.7280759215354919
12,20.529222305220884,0.60779977,0.6327629089355469
13,20.90119258286924,0.7474825,0.41977113485336304
14,20.726587504300973,0.6298179,0.5184279084205627
15,22.88054430551542,0.5877219,0.752975344657898
16,21.542862275487636,0.60038024,0.6354143619537354
17,20.089595964197922,0.62400097,0.598268449306488
18,19.741049131976737,0.41316986,0.8005123734474182
19,14.943866860936284,0.30662915,0.9095817804336548
20,13.842549664148278,0.33050272,0.7416903376579285
21,19.324825970646465,0.376093,0.7570241093635559
22,19.832985395032434,0.5797565,0.660259485244751
23,18.084206490466425,0.6069048,0.6455677151679993
24,16.576597229863697,0.3879352,0.8509559631347656
25,19.200742948711685,0.51087826,0.7214579582214355
26,25.53133953162176,0.7234257,0.7376319169998169
27,13.77689285461415,0.40464732,0.7743769288063049
28,20.667816068581356,0.36244,0.862524151802063
29,20.037987467183328,0.507191,0.7292504906654358
30,19.010620800776692,0.48586223,0.7861300706863403
31,18.766176291042648,0.5091346,0.7554396390914917
32,20.10986886334412,0.7046208,0.6122537851333618
33,19.013893301805105,0.5446151,0.6199149489402771
34,18.88924871872566,0.2569364,0.9721264839172363
35,18.53574280929839,0.5105718,0.7110583186149597
36,17.323849679576476,0.3851576,0.8505725860595703
37,25.964737243265354,0.79872704,0.5998819470405579
38,21.38594655230795,0.57855505,0.5582870841026306
39,19.550141043842363,0.39411697,0.8187299966812134
40,20.60647706419755,0.5731463,0.8085716962814331
41,21.166820462694638,0.6260238,0.5730855464935303
42,26.690870405492404,0.9271317,0.1599632352590561
43,24.858472593838524,0.8856652,0.2808378338813782
44,16.696943720402146,0.43791088,0.8064538836479187
45,17.373846127509772,0.46820232,0.7322545051574707
46,17.41522806331638,0.430329,0.7802257537841797
47,20.00918547494276,0.48805305,0.7924870252609253
48,13.628808022512297,0.25604513,0.9164390563964844
49,20.195699094014913,0.5402715,0.7916886210441589
50,20.81006956389285,0.69917536,0.4715341627597809
51,25.682125862154873,0.62209916,0.7276369333267212
52,21.810618549993528,0.71776754,0.5315962433815002
53,17.802680650931816,0.4280903,0.7883312106132507
54,22.40025964917347,0.53869784,0.8389139771461487
55,19.028316950183953,0.33168748,0.98295658826828
56,26.623154206893894,0.7304451,0.7807044982910156
57,21.22554050663732,0.41221452,0.826736569404602
58,18.498525495723033,0.33067057,0.9197400808334351
59,16.378664446789372,0.22383034,0.9601393938064575
60,16.897357102284012,0.39081898,0.8880589008331299
61,26.489516680620536,0.7060588,0.6507373452186584
62,22.66714827321962,0.71599406,0.4253120720386505
63,22.067222538743785,0.45582566,0.8788619041442871
64,22.06504842944367,0.5515167,0.8429141044616699
65,18.81634495327958,0.4318228,0.7666653990745544
66,18.507608781530678,0.4468119,0.7944447994232178
67,22.316163061612997,0.86096174,0.22140531241893768
68,19.172413543915244,0.53499156,0.6896526217460632
69,19.619009871171585,0.38767716,0.738488495349884
70,19.9918050455059,0.5730801,0.7151505947113037
71,17.198314799898814,0.31232205,0.8824062347412109
72,18.03617076179835,0.41347823,0.8281744718551636
73,21.896314081812974,0.51517296,0.846213698387146
74,18.068514586903447,0.2634242,0.9313275218009949
75,18.35562156209186,0.23515111,0.9826156497001648
76,25.911090737872193,0.8210798,0.5874850749969482
77,19.879244933911448,0.5198615,0.790644109249115
78,20.66600446857665,0.66420275,0.5298237800598145
79,22.573834941024362,0.69014627,0.49704524874687195
80,20.840295617792272,0.60173345,0.6379081606864929
81,19.096770357265164,0.72410274,0.36313164234161377
82,19.20595294074214,0.34668568,0.9065736532211304
83,18.038261284272124,0.33251348,0.8975409269332886
84,18.085951432973154,0.2586883,1.0140948295593262
85,22.19895027240563,0.78008646,0.5130001306533813
86,18.800606863735602,0.53027314,0.704761803150177
87,17.819520221904053,0.4920765,0.6950304508209229
88,17.049620148743266,0.3811021,0.7004761695861816
89,21.217615665905146,0.5747177,0.6710038781166077
90,18.255327131643515,0.4451884,0.8005218505859375
91,18.032138652911335,0.4341813,0.7765342593193054
92,21.08390300211411,0.60744697,0.7768360376358032
93,21.29261397217757,0.6318132,0.6241392493247986
94,16.653266304675828,0.21269119,0.997580885887146
95,20.910029298488936,0.81245327,0.39561668038368225
96,15.440615421567262,0.24102181,0.8471018671989441
97,22.23435246439643,0.77070767,0.4488278031349182
98,17.248906253299946,0.5657739,0.6765905618667603
99,18.323400705735025,0.50205976,0.7336969375610352
Average,19.98703543679031,0.52151567,0.7170963495969772
