image_idx,psnr,ssim,lpips
0,15.20149924918285,0.19801088,0.8860111236572266
1,16.357360462374892,0.22039966,0.8323125243186951
2,15.86275984644434,0.20691268,0.9439330101013184
3,15.190510820143338,0.20629476,0.9536627531051636
4,15.55892014204787,0.1938655,1.0534260272979736
5,15.40557916342289,0.17740603,0.9665662050247192
6,14.138304097395064,0.118178345,1.0523368120193481
7,15.563868725457503,0.1849802,1.018602728843689
8,15.525662660136748,0.18203044,0.8501768708229065
9,15.149725462635686,0.15641792,1.0477116107940674
10,16.011153474479336,0.17144853,0.9445238709449768
11,15.280163296793654,0.18043618,1.0201857089996338
12,16.077035193927806,0.22713046,0.9760333299636841
13,15.265618281561867,0.16285372,1.0026371479034424
14,15.666574672670704,0.20374767,0.8962908387184143
15,15.55434634892001,0.19337082,1.0160887241363525
16,15.780933606616077,0.21710956,0.9357362985610962
17,15.635717601667942,0.2348497,0.9268994331359863
18,15.308758691128615,0.1865785,0.8806800246238708
19,14.035559095199634,0.19398095,0.9685536623001099
20,14.267269131359487,0.23860145,0.9144276976585388
21,15.640660752336974,0.18758184,0.8487690091133118
22,15.061245794359984,0.19107346,1.0544862747192383
23,15.27425499844184,0.20170604,1.0218524932861328
24,14.751813667338496,0.19924681,0.9782169461250305
25,15.098509937721689,0.1869701,1.003495216369629
26,16.900420772049905,0.1816696,0.9936740398406982
27,12.548875686654554,0.13526125,0.9751262664794922
28,15.494231045179047,0.14290641,1.1204198598861694
29,14.882752313228188,0.15582049,1.0240477323532104
30,15.491290344877303,0.19450058,0.9401630163192749
31,15.514472934523207,0.21278806,0.9168434739112854
32,15.86702449941463,0.22545844,1.0825653076171875
33,15.498086978235008,0.22776322,0.9528472423553467
34,14.709562548380699,0.1359515,1.0311897993087769
35,14.994175973290789,0.20658489,0.9939720630645752
36,14.930726923837925,0.18773364,0.9541332721710205
37,16.30898662381003,0.19779094,1.140726923942566
38,16.08514760493154,0.1626298,0.9995459914207458
39,15.5744099834942,0.18795931,0.8951089382171631
40,15.753088305956993,0.18020664,0.963463544845581
41,15.887916443670813,0.22277994,0.9416625499725342
42,17.397541844169687,0.21580403,1.0248159170150757
43,16.934941977916097,0.27251098,0.9032613039016724
44,14.729098653468318,0.20931952,1.0558803081512451
45,15.006939878562214,0.23414487,0.9953607320785522
46,15.182443285138632,0.21384253,0.9616454839706421
47,15.610093458469574,0.1930178,1.050101399421692
48,13.44890859850166,0.18404754,0.9305166006088257
49,15.375432850087439,0.18596454,0.9717259407043457
50,15.869189236732646,0.20013835,1.025316596031189
51,17.224942119178003,0.1721421,0.9036200046539307
52,16.252642286225296,0.19875751,0.9868850111961365
53,14.751666623439949,0.16952701,1.0134767293930054
54,15.49721856961498,0.16881256,1.1560136079788208
55,15.140359893887378,0.1376081,0.9646462202072144
56,15.66359731048292,0.17559189,1.3225131034851074
57,16.331824012781325,0.17258103,0.9244784116744995
58,14.905236808547686,0.16114794,0.9591060876846313
59,14.00943868496973,0.14795107,0.9555913209915161
60,14.92232237947077,0.17495114,0.9671544432640076
61,15.708689536387485,0.17674512,1.190497875213623
62,16.1956434435541,0.23336701,0.9750776290893555
63,15.62991800085111,0.16341269,1.0040992498397827
64,15.307179701035185,0.17101534,1.0428804159164429
65,14.936856433596816,0.2124803,0.9022510051727295
66,15.120972621848047,0.1911375,0.9783592224121094
67,16.5880833940523,0.25759837,0.9586890339851379
68,14.872497115462666,0.17325212,1.0251749753952026
69,15.0603493902216,0.19799863,0.831248939037323
70,15.329898873211267,0.20223518,0.9146468043327332
71,14.532629664148711,0.16855848,0.9874599575996399
72,14.58149654743452,0.15804265,1.0297784805297852
73,15.326136250034486,0.1855046,0.974050760269165
74,14.742390920384626,0.15262498,0.9778155088424683
75,15.111882257327371,0.123257756,1.0104210376739502
76,16.806464100629533,0.19197905,0.870613694190979
77,15.328394452353963,0.20659326,0.9869468808174133
78,15.394831427608224,0.18101108,1.047658085823059
79,15.333049050190448,0.17643161,1.0237864255905151
80,15.01573648961287,0.15582532,1.0344547033309937
81,15.791636305731318,0.2406163,0.8953616619110107
82,14.912529407095672,0.17078441,0.9538544416427612
83,14.963504963326322,0.16822188,0.9919383525848389
84,14.520091476247403,0.1294855,1.027917742729187
85,15.79366225573387,0.19351141,1.1327359676361084
86,15.159901528715867,0.17532825,1.0134961605072021
87,15.419410575920672,0.23231882,0.9086158871650696
88,15.194783066499046,0.24178505,0.8322219252586365
89,15.00038740135655,0.14785533,1.0801920890808105
90,14.778042863509878,0.18812145,1.0044151544570923
91,14.600803529508271,0.21687484,0.9918473362922668
92,16.340454798301238,0.20882136,1.0965206623077393
93,15.894395619143866,0.2092222,0.964799165725708
94,13.805080399681305,0.12095749,0.9762166738510132
95,16.880221708876032,0.29402992,1.0535045862197876
96,14.415026742183558,0.24842177,1.0248188972473145
97,15.67098869648536,0.19514902,1.0808219909667969
98,15.605096833386066,0.20896883,0.8853108882904053
99,15.576611854138946,0.19238569,0.9110927581787109
Average,15.366045423227318,0.19028784,0.9858280861377716
